Movie,Cast,Release_year
Eik Dil Do Dewaane,"Rani, Syed Kamal, Zeenat, Saqi",1964
Farangi,"Shamim Ara, Sudhir, Talish, Allauddin",1964
Gehra Daagh,"Neelo, Ejaz Durrani, Talish, Ragni, Saqi, Allauddin",1964
Ghadaar,"Saloni, Sudhir, Firdaus, Mohammad Ali",1964
Haveli,"Shamim Ara, Talish, Santosh",1964
Head Constable,"Zeba, Mohammad Ali, Habib, Yasmeen, Kumar",1964
Heera Aur Pathar,"Zeba, Waheed Murad, Kamal Irani, Nirala, Ibrahim Nafees",1964
Inspector,"Naghma, Nazar, Panna, Farida, Azad",1964
Ishrat,"Sabiha Khanum, Santosh, Allauddin, Ilyas",1964
Jamila,"Sabira, Habib, Zeenat, M. Ismael",1964
Jhalak,"Laila, Syed Kamal, Panna, Allauddin, Amy",1964
Karwan,"Shabnam, Haroon, Tarana, Badarudin",1964
Khamosh Raho,"Deeba, Mohammad Ali, Yusuf, Meena Shorey",1964
Khandan,"Bahar, Mohammad Ali, Firdaus, Akmal Khan",1964
Khyber Pass,"Neelo, Sudhir, Rukhsana, Nazar",1964
Lunda Bazar,"Bahar, Asad, Asif Jah, Talish",1964
Lutera,"Bahar, Aslam Pervaiz, Talish, Azad",1964
Maa Ka Pyaar,"Sabira, Habib, Rukhsana, Adeeb",1964
Maalan,"Nasima Khan, Deep, Dear Asghar, Jalil Afghani",1964
Maihkhana,"Hanif, Shamim Ara, Habib, Rukhsana",1964
Mamta,"Bahar, Habib, Yasmeen, Waheed Murad",1964
Milan,"Deeba, Rehman, Akbar, Subhash Dutta",1964
Nehle Pe Dehla,"Neelo, Syed Kamal, Nasira, Sawan, Saqi",1964
Paigham,"Shamim Ara, Sultan, Rukhsana, Zeenat",1964
Paisay,"Shabnam, Azim, Subhash Dutta, Shaukat Akbar",1964
Phool Aur Kante,"Saba, Habib, Tarana, Meena, Saqi",1964
Pyaar Ki Saza,"Shamim Ara, Syed Kamal, Rukhsana, Nasira",1964
Pyaar Na Karna Nadan,"Nighat, Rukshana, Talish, Saqi, Baqar Rizvi",1964
